store,name,description,price,currency,category,image,link,id_tag
Aldi Süd,bell pepper,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,9.64,€,Vegetables,http://dummyimage.com/171x100.png/dddddd/000000,http://dummyimage.com/180x100.png/ff4444/ffffff,#fc5261
Kaufland,celery,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,3.38,€,Vegetables,http://dummyimage.com/134x100.png/ff4444/ffffff,http://dummyimage.com/116x100.png/ff4444/ffffff,#878a0b
Kaufland,asparagus,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,9.99,€,Vegetables,http://dummyimage.com/142x100.png/5fa2dd/ffffff,http://dummyimage.com/212x100.png/cc0000/ffffff,#454a11
Netto,cabbage,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,2.29,€,Vegetables,http://dummyimage.com/230x100.png/ff4444/ffffff,http://dummyimage.com/157x100.png/ff4444/ffffff,#40c963
Netto,asparagus,lectus in est risus auctor sed tristique in tempus sit,3.56,€,Vegetables,http://dummyimage.com/190x100.png/dddddd/000000,http://dummyimage.com/116x100.png/ff4444/ffffff,#e2598a
Kaufland,broccoli,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,8.29,€,Vegetables,http://dummyimage.com/125x100.png/dddddd/000000,http://dummyimage.com/141x100.png/cc0000/ffffff,#dc5348
Aldi Süd,celery,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,4.46,€,Vegetables,http://dummyimage.com/129x100.png/dddddd/000000,http://dummyimage.com/216x100.png/5fa2dd/ffffff,#492c39
Netto,spinach,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,1.32,€,Vegetables,http://dummyimage.com/134x100.png/ff4444/ffffff,http://dummyimage.com/232x100.png/cc0000/ffffff,#5d0247
Netto,asparagus,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,6.64,€,Vegetables,http://dummyimage.com/250x100.png/dddddd/000000,http://dummyimage.com/238x100.png/dddddd/000000,#7eeec8
Kaufland,cabbage,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,8.47,€,Vegetables,http://dummyimage.com/235x100.png/ff4444/ffffff,http://dummyimage.com/169x100.png/dddddd/000000,#e86e34
Netto,broccoli,,9.35,€,Vegetables,http://dummyimage.com/185x100.png/cc0000/ffffff,http://dummyimage.com/137x100.png/5fa2dd/ffffff,#d23394
Aldi Süd,broccoli,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,1.95,€,Vegetables,http://dummyimage.com/192x100.png/dddddd/000000,http://dummyimage.com/145x100.png/dddddd/000000,#4e0b6c
Aldi Süd,cabbage,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,4.82,€,Vegetables,http://dummyimage.com/164x100.png/ff4444/ffffff,http://dummyimage.com/118x100.png/cc0000/ffffff,#e34077
Netto,zucchini,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,8.64,€,Vegetables,http://dummyimage.com/190x100.png/dddddd/000000,http://dummyimage.com/215x100.png/cc0000/ffffff,#7acbbf
Aldi Süd,asparagus,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,8.85,€,Vegetables,http://dummyimage.com/235x100.png/dddddd/000000,http://dummyimage.com/243x100.png/dddddd/000000,#713469
Aldi Süd,broccoli,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,8.43,€,Vegetables,http://dummyimage.com/219x100.png/5fa2dd/ffffff,http://dummyimage.com/125x100.png/ff4444/ffffff,#c3086f
Kaufland,cabbage,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,9.28,€,Vegetables,http://dummyimage.com/173x100.png/dddddd/000000,http://dummyimage.com/144x100.png/dddddd/000000,#230df0
Kaufland,bell pepper,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,2.08,€,Vegetables,http://dummyimage.com/109x100.png/cc0000/ffffff,http://dummyimage.com/151x100.png/5fa2dd/ffffff,#c8fc1d
Kaufland,eggplant,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,7.68,€,Vegetables,http://dummyimage.com/159x100.png/ff4444/ffffff,http://dummyimage.com/122x100.png/ff4444/ffffff,#55551b
Aldi Süd,asparagus,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,4.77,€,Vegetables,http://dummyimage.com/123x100.png/5fa2dd/ffffff,http://dummyimage.com/243x100.png/dddddd/000000,#0d3526
